path,classification,next_action,rationale
"addison.html","enrich-then-index","add-social-metadata-and-local-proof","City hub has canonical H1 and structured data but incomplete social metadata and limited local proof"
"aledo.html","enrich-then-index","add-social-metadata-and-local-proof","City hub has canonical H1 and structured data but incomplete social metadata and limited local proof"
"allen-backsplash-installation.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"allen-cabinet-installation.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"allen-concrete-driveways.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"allen-door-installation.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"allen-foundation-repair.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"allen-outdoor-living.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"allen-patio-covers.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"allen-pergolas.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"allen-room-additions.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"allen-shower-remodeling.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"allen-whole-home-remodeling.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"allen-window-replacement.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"arlington-backsplash-installation.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"arlington-cabinet-installation.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"arlington-concrete-driveways.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"arlington-door-installation.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"arlington-foundation-repair.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"arlington-outdoor-living.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"arlington-patio-covers.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"arlington-pergolas.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"arlington-room-additions.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"arlington-shower-remodeling.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"arlington-whole-home-remodeling.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"arlington-window-replacement.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"bathroom-ventilation-bedford.html","hold-low-content","expand-before-indexing","Short local article of roughly 165 to 187 visible words with incomplete social metadata"
"bathroom-waterproofing-frisco.html","hold-low-content","expand-before-indexing","Short local article of roughly 165 to 187 visible words with incomplete social metadata"
"bedford-backsplash-installation.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"bedford-cabinet-installation.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"bedford-concrete-driveways.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"bedford-door-installation.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"bedford-foundation-repair.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"bedford-outdoor-living.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"bedford-patio-covers.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"bedford-pergolas.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
"bedford-room-additions.html","hold-template-family","enrich-by-family","One of 12 repeated service-city families; keep out until uniqueness local proof and OG image coverage are validated"
